id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,expired,missed,vspdversion,blockheight,estimatednetworkproportion
big.decred.energy,mainnet,2022-05-01,2025-08-24 02:44:34,[3],0.088,False,1337,12082,69,3,1.3.2,1003807,0.032494046
dcrhive.com,mainnet,2022-06-23,2025-08-24 02:44:34,[3],1,False,275,28868,213,1,1.3.2+bec2d12a0,1003807,0.0066835172
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2025-08-24 02:44:34,[3],0.9500000000000001,False,111,14484,97,320,1.3.2+bec2d12a0,1003807,0.0026977106
decred.stake.fun,mainnet,2021-01-28,2025-08-24 02:44:34,[3],0.5,False,58,31485,193,46,1.3.1,1003807,0.0014096146
decredvoting.com,mainnet,2021-02-01,2025-08-24 02:44:34,[3],1,False,92,8074,52,1,1.3.2,1003807,0.0022359404
stakey.net,mainnet,2020-10-22,2025-08-24 02:44:34,[3],1,False,337,35640,274,0,1.3.2+f79363a87,1003807,0.008190347
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2025-08-24 02:44:34,[3],0.6900000000000001,False,896,327269,727,909,1.4.0-pre+5263bfc2e,1723918,0.20089686
teststakepool.decred.org,testnet,2020-06-01,1970-01-01 00:00:00,,0,False,0,0,0,0,,0,0
ultravsp.uk,mainnet,2020-12-01,2025-08-24 02:44:34,[3],0.30000000000000004,False,279,19002,116,1,1.4.0-pre+015cf707b,1003807,0.006780732
vote.dcr-swiss.ch,mainnet,2023-06-30,2025-08-24 02:44:34,[3],0.18,False,1126,26850,157,1,1.3.2+bec2d12a0,1003807,0.027365966000000002
vsp.dcr.farm,mainnet,2020-12-09,2025-08-24 02:44:34,[3],0.5,False,213,15064,75,2,1.3.2,1003807,0.0051766880000000005
vsp.decredcommunity.org,mainnet,2020-11-05,2025-08-23 09:42:15,[3],0.49,False,856,20545,133,12,1.3.2+bec2d12a0,1003596,0.020830292
vsp.stakeminer.com,mainnet,2020-11-09,2025-08-24 02:44:34,[3],1,False,286,35133,228,0,1.3.2+81acb861c,1003807,0.006950858000000001
vspd.99split.com,mainnet,2020-11-17,2025-08-24 02:44:34,[3],0.099,True,5,33918,218,104,1.3.2,1003807,0.0001215185
vspd.bass.cf,mainnet,2022-05-01,2025-08-24 02:44:34,[3],0.2,False,229,28724,170,79,1.3.2,1003807,0.0055655470000000005
vspd.decredbrasil.com,mainnet,2020-11-22,1970-01-01 00:00:00,,0,False,0,0,0,0,,0,0
