id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,expired,missed,vspdversion,blockheight,estimatednetworkproportion
big.decred.energy,mainnet,2022-05-01,2025-09-20 02:09:50,[3],0.088,False,1203,13297,70,3,1.3.2,1011595,0.030232208000000003
dcrhive.com,mainnet,2022-06-23,2025-09-20 02:09:50,[3],1,False,270,29113,216,1,1.3.2+bec2d12a0,1011595,0.0067852833
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2025-09-20 02:09:50,[3],0.9500000000000001,False,94,14592,98,320,1.3.2+bec2d12a0,1011594,0.0023623432
decred.stake.fun,mainnet,2021-01-28,2025-09-20 02:09:50,[3],0.5,False,62,31535,194,46,1.3.1,1011595,0.0015581021
decredvoting.com,mainnet,2021-02-01,2025-09-20 02:09:50,[3],1,False,63,8149,52,1,1.3.2,1011595,0.0015832328
stakey.net,mainnet,2020-10-22,2025-09-20 02:09:50,[3],1,False,224,35886,275,0,1.3.2+f79363a87,1011595,0.005629272
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2025-09-20 02:09:50,[3],0.6900000000000001,False,697,340155,757,910,1.4.0-pre+5263bfc2e,1743342,0.13623925
teststakepool.decred.org,testnet,2020-06-01,1970-01-01 00:00:00,,0,False,0,0,0,0,,0,0
ultravsp.uk,mainnet,2020-12-01,2025-09-20 02:09:50,[3],0.30000000000000004,False,316,19346,118,1,1.4.0-pre+015cf707b,1011595,0.007941294
vote.dcr-swiss.ch,mainnet,2023-06-30,2025-09-20 02:09:50,[3],0.18,False,835,27845,166,1,1.3.2+bec2d12a0,1011595,0.020984117
vsp.dcr.farm,mainnet,2020-12-09,2025-09-20 02:09:50,[3],0.5,False,353,15513,80,2,1.3.2,1011595,0.00887113
vsp.decredcommunity.org,mainnet,2020-11-05,2025-09-20 02:09:50,[3],0.49,False,453,21276,135,12,1.3.2+bec2d12a0,1011595,0.0113841975
vsp.stakeminer.com,mainnet,2020-11-09,2025-09-20 02:09:50,[3],1,False,272,35375,229,0,1.3.2+81acb861c,1011595,0.006835545
vspd.99split.com,mainnet,2020-11-17,2025-09-20 02:09:50,[3],0.099,True,0,33920,221,104,1.3.2,1011595,0
vspd.bass.cf,mainnet,2022-05-01,2025-09-20 02:09:50,[3],0.2,False,281,28938,171,79,1.3.2,1011595,0.007061721000000001
vspd.decredbrasil.com,mainnet,2020-11-22,1970-01-01 00:00:00,,0,False,0,0,0,0,,0,0
